id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8263291,2017-10-25T21:16:29Z,2017-10-25T22:49:47Z,,"Arch | Platform | Package | SHA256
arm64 | Linux | [`telegraf-1.4.0_linux_arm64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_linux_arm64.tar.gz) | `cba115b587c02fbb8ba055aba25e521d3475986b40201ba56d65ac2a897e52e2`
armel | Centos | [`telegraf-1.4.0-1.armel.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0-1.armel.rpm) | `ade5c08efd453853dfc523b7f001a13595f15317a8cd8334bf4c7b37b023d6ea`
armel | Debian | [`telegraf_1.4.0-1_armel.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.0-1_armel.deb) | `1bc57d8466b71ffe4e2dba0e9fa224b84d6e1d2232be4bef985262ba0976e1d7`
armel | Linux | [`telegraf-1.4.0_linux_armel.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_linux_armel.tar.gz) | `90c683b38e7037e0a2bb027e65cf40097861d029963bb27e0c19ff45d2fdf58f`
armhf | Debian | [`telegraf_1.4.0-1_armhf.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.0-1_armhf.deb) | `327a686f75d4622307ca4149e74bc6145d1887c6b4eb0e282fb1d814e7f0eee5`
armhf | Linux | [`telegraf-1.4.0_linux_armhf.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_linux_armhf.tar.gz) | `5e130c49ac6dc0a7d6f8c08dde9d36a4e41a51a069748f2d4a1e95ac0c92d2c0`
armv6hl | Centos | [`telegraf-1.4.0-1.armv6hl.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0-1.armv6hl.rpm) | `2c6fec3cc5297a6eff43f82449b8389dc476b58bef8860ccf66f6ec152b2b39a`
i386 | Centos | [`telegraf-1.4.0-1.i386.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0-1.i386.rpm) | `ced73f42b9cbdb6ce89229a33c5e06548bab96db4edd6b546e702be26e944d5f`
i386 | Debian | [`telegraf_1.4.0-1_i386.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.0-1_i386.deb) | `b9e26da36cad7c00106ccfa57578bd72adaf45890c7d44206320ac6bfb365e0f`
i386 | FreeBSD | [`telegraf-1.4.0_freebsd_i386.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_freebsd_i386.tar.gz) | `410fa308806b131e9265678f104b7a70c7f5e0135ebe3b8aee2f0a2ad405450b`
